id,price
7034441763,17899
7034440610,0
7034440588,46463
7034440546,0
7034406932,49999
7034406582,13999
7034405619,34500
7034405349,14500
7034404595,12500
7034401857,34500
7034401494,5900
7034400341,16500
7034398060,14500
7034396354,27999
7034395505,14999
7034395342,24999
7034394805,35500
7034385254,8999
7034384679,5999
7034384490,63500
7034384400,13500
7034374035,31895
7034366554,9500
7034290597,57995
7034278551,4600
7034261745,32995
7034229439,39995
7034206084,26950
7034195717,39995
7033845439,8300
7034166384,30000
7034158475,43995
7034118739,37995
7034078036,43995
7034037779,59995
7034014908,27476
7033992818,23500
7033974897,15475
7033963404,15475
7033943607,3995
7033939797,34900
7033921130,21475
7033912739,14476
7047631382,23295
7033844851,0
7033844817,0
7033844784,28248
7033830282,23800
7033720842,28000
7033680889,15995
7033678167,10550
7033641942,37995
7032995718,18999
7032995571,79997
7032995413,18999
7033599808,44995
7033599135,33950
7033598937,2500
7033519259,68500
7033508520,22995
7033478714,28895
7033472903,105500
7032995174,54997
7032995066,29999
7047631279,14795
7033458423,36995
7033444323,8950
7033417826,16500
7033406525,36995
7033389810,24700
7033382261,14900
7033368234,34876
7033356648,12495
7033353432,32975
7033349656,6495
7033339577,31221
7033326157,19499
7033301645,0
7033291267,13976
7033285926,5495
7033279476,8499
7032994907,21999
7032992413,37995
7039834376,0
7033273899,7495
7033268169,26950
7033266224,6995
7033264267,7995
7033259770,2250
7032950500,59995
7033249926,2800
7033248670,5495
7033242672,8995
7033233997,7995
7033233133,3250
7032711898,16476
7033230001,6800
7033228648,14800
7033226558,8995
7033225686,6995
7033221608,13495
7037949356,0
7033206570,5995
7033205470,6995
7033204261,7995
7033202167,7995
7033198497,0
7033198469,7200
7033198406,0
7050078672,12000
7033197709,4995
7033083294,24999
7033077397,4000
7033030320,49995
7032997393,16999
7032997294,22999
7032997119,29999
7032996995,39999
7032996814,21999
7032996685,31999
7032996553,24999
7032996382,16999
7032996291,21999
7032996129,14999
7032996004,25999
7032995875,28999
7032929698,28950
7032906588,22995
7032869849,10550
7032859017,49995
7032825687,30995
7032809893,34995
7032759586,12000
7032759329,58995
7032716171,0
7032693370,38995
7032693342,46995
7032693345,14995
7032693348,56995
7032693368,10995
7032677755,16975
7032647533,0
7032623341,13999
7049133161,21500
7050068262,3700
7050019663,34495
7050005015,17500
7049991795,20495
7049991697,22795
7049926493,6795
7049899152,3150
7049882169,5500
7049847507,8845
7049847572,8490
7049839401,6445
7049839461,7435
7049834588,25495
7048934417,5000
7049796561,10499
7049794023,7295
7049790822,23795
7049769173,9995
7049736098,26795
7049628210,29000
7049480383,7999
7049465428,27701
7049458404,21000
7049395159,6500
7049378665,550
7049300579,19000
7049249875,4500
7048798803,7500
7048784113,13500
7048747524,6000
7048731596,1600
7048720060,8995
7048719021,2400
7048714747,7295
7048701955,3495
7048701604,3500
7048698835,8400
7048696439,3600
7048693770,4200
7048687103,39900
7048665144,18795
7048627253,13500
7048574960,17595
7048553084,3200
7048548019,4200
7048540554,3200
7048519392,56995
7048497716,22500
7048496154,8300
7048268005,1700
7047671662,19495
7047671585,18295
7047651585,22995
7047631500,12495
7048186438,36900
7048132108,16495
7048016623,21500
7047935525,16900
7047895001,27400
7047874596,12000
7047847830,1500
7047707148,1800
7047671719,10795
7047631181,16695
7047624759,9000
7047592053,11000
7047422037,9999
7047421920,6495
7047421752,9995
7047421551,12795
7047421406,9795
7047421363,11495
7047421293,17495
7047421215,22495
7047421155,9995
7047421099,4250
7047421000,16995
7047420796,7995
7047420689,29795
7047420632,22795
7047420562,20495
7047420503,27795
7047420416,6495
7047420367,12795
7047420303,10795
7047420236,36495
7047420152,24595
7047420092,15495
7047420048,17495
7047419995,14495
7047419930,18795
7047419868,9995
7047419770,8995
7047419694,12145
7047419622,7995
7047419557,36455
7047419466,32475
7047419406,36795
7047419344,10595
7047419289,10295
7047419240,23995
7047419172,13795
7047419121,20945
7047419043,22795
7047264905,12000
7047239908,2895
7047217351,7900
7047169493,10500
7047151304,8600
7047129494,1600
7047112588,5900
7047069378,8000
7047045792,5200
7047040463,9600
7047030355,14255
7047022036,14995
7047018081,24800
7047009599,14255
7046983061,0
7046811318,31000
7046652169,2600
7045999621,21900
7046631141,5995
7046579734,1500
7046425352,3999
7046413351,22500
7046317530,500
7046181407,5000
7046162051,4500
7046091125,15350
7046089652,3350
7045978404,8300
7045972643,23900
7045957974,2000
7045888501,2000
7045560214,10700
7045486147,18995
7045485954,18495
7045485710,10295
7045485582,18995
7045485346,25795
7045485238,24495
7045485012,10795
7045484873,18795
7045319692,42999
7039893620,15000
7045484674,12795
7045484514,26795
7045484106,22795
7045484002,17495
7045449619,5000
7045411975,3000
7045330795,4895
7045330699,8495
7045330406,9795
7045330226,21795
7045329903,20795
7045316118,42999
7045204476,11700
7045182826,7750
7045150486,9500
7044990857,9995
7044983501,4895
7042517115,12495
7044982699,6995
7044933250,3300
7044879996,6250
7044839485,36900
7044786617,14900
7044771424,3700
7044762541,9500
7044733735,2999
7044695628,7500
7044664411,3200
7044632058,8800
7044597377,9000
7044338264,9495
7044091338,14255
7044070954,6795
7044070873,8795
7044024149,6900
7044003029,39000
7042516837,20495
7043966271,8795
7043671384,19795
7043597574,24495
7043561966,7895
7043486078,5800
7043110394,17395
7042559526,8995
7042559493,18495
7042559474,20995
7042559451,11500
7042559436,13500
7037243490,0
7042465861,4795
7042207931,34495
7042162176,6500
7042120490,3600
7042114211,6795
7042109991,22488
7042107156,23000
7042039115,25495
7041995517,8895
7041985743,39666
7041887231,8000
7041878775,2000
7041728544,23500
7041686079,11480
7041683847,4567
7041678549,8900
7041667818,16500
7041667520,6995
7041667144,5995
7041666950,5995
7041664285,6495
7041663730,4200
7041663059,3000
7041662703,2777
7041662449,3750
7041662124,3995
7041660166,5995
7041659918,3995
7041659711,5295
7041659497,2995
7041659311,9995
7041640007,24900
7041639907,41900
7041639817,32900
7041639727,39900
7041639632,24900
7041639503,24900
7041639379,23900
